RegionID,State,County,City,ZipCode
75151,MS,Madison County,Madison,39110
75152,MS,Simpson County,Magee,39111
75154,MS,Simpson County,,39114
75157,MS,Scott County,Morton,39117
75159,MS,Adams County,Natchez,39120
75163,MS,Lawrence County,New Hebron,39140
75165,MS,Rankin County,Brandon,39145
75166,MS,Holmes County,Lexington,39146
75173,MS,Hinds County,,39154
75175,MS,Madison County,Ridgeland,39157
75178,MS,Attala County,Sallis,39160
75183,MS,Humphreys County,,39166
75186,MS,Holmes County,Tchula,39169
75187,MS,Hinds County,Terry,39170
75191,MS,Hinds County,Utica,39175
75192,MS,Carroll County,Vaiden,39176
75195,MS,Warren County,Vicksburg,39180
75198,MS,Warren County,Vicksburg,39183
75201,MS,Lincoln County,,39191
75202,MS,Attala County,West,39192
75204,MS,Yazoo County,Yazoo City,39194
75206,MS,Hinds County,Jackson,39202
75207,MS,Hinds County,Jackson,39203
75208,MS,Hinds County,Jackson,39204
75210,MS,Hinds County,Jackson,39206
75212,MS,Rankin County,Pearl,39208
75213,MS,Hinds County,Jackson,39209
75215,MS,Hinds County,Jackson,39211
75216,MS,Hinds County,Jackson,39212
75217,MS,Hinds County,Jackson,39213
75219,MS,Hinds County,Jackson,39216
75221,MS,Rankin County,Richland,39218
75223,MS,Rankin County,Flowood,39232
75229,MS,Hinds County,Byram,39272
75238,MS,Lauderdale County,Meridian,39301
75242,MS,Lauderdale County,Meridian,39305
75243,MS,Lauderdale County,Meridian,39307
75245,MS,Lauderdale County,Bailey,39320
75249,MS,Lauderdale County,Collinsville,39325
75251,MS,Newton County,Decatur,39327
75253,MS,Clarke County,Enterprise,39330
75255,MS,Lauderdale County,Lauderdale,39335
75259,MS,Winston County,Louisville,39339
75261,MS,Lauderdale County,Marion,39342
75262,MS,Newton County,Newton,39345
75263,MS,Winston County,Noxapater,39346
75266,MS,Neshoba County,Philadelphia,39350
75268,MS,Kemper County,Preston,39354
75275,MS,Wayne County,State Line,39362
75277,MS,Lauderdale County,Toomsuba,39364
75278,MS,Neshoba County,,39365
75280,MS,Wayne County,Waynesboro,39367
75281,MS,Forrest County,Hattiesburg,39401
75282,MS,Lamar County,Hattiesburg,39402
75289,MS,Perry County,Beaumont,39423
75290,MS,Perry County,Brooklyn,39425
75291,MS,Pearl River County,Carriere,39426
75293,MS,Covington County,Collins,39428
75294,MS,Marion County,Columbia,39429
75296,MS,Jones County,Ellisville,39437
75298,MS,Jones County,Laurel,39440
75301,MS,Jones County,Laurel,39443
75302,MS,Greene County,Leakesville,39451
75303,MS,George County,Lucedale,39452
75304,MS,Lamar County,Lumberton,39455
75305,MS,Greene County,McLain,39456
75310,MS,Perry County,New Augusta,39462
75313,MS,Forrest County,Petal,39465
75314,MS,Pearl River County,Picayune,39466
75315,MS,Pearl River County,Poplarville,39470
75317,MS,Lamar County,Purvis,39475
75318,MS,Perry County,Richton,39476
75321,MS,Covington County,Seminary,39479
75324,MS,Lamar County,Sumrall,39482
75326,MS,Harrison County,Gulfport,39501
75328,MS,Harrison County,Gulfport,39503
75331,MS,Harrison County,Gulfport,39507
75332,MS,Hancock County,Bay Saint Louis,39520
75335,MS,Hancock County,Diamondhead,39525
75337,MS,Harrison County,Biloxi,39530
75338,MS,Harrison County,Biloxi,39531
75339,MS,Harrison County,Biloxi,39532
75343,MS,Harrison County,Diberville,39540
75345,MS,Jackson County,Gautier,39553
75347,MS,Hancock County,Kiln,39556
75349,MS,Harrison County,Long Beach,39560
75350,MS,Stone County,Mc Henry,39561
75351,MS,Jackson County,Moss Point,39562
75352,MS,Jackson County,Moss Point,39563
75353,MS,Jackson County,Ocean Springs,39564
75354,MS,Jackson County,Vancleave,39565
75356,MS,Jackson County,Pascagoula,39567
75359,MS,Harrison County,Pass Christian,39571
75361,MS,Stone County,Mc Henry,39573
75362,MS,Harrison County,Saucier,39574
75363,MS,Hancock County,Waveland,39576
75364,MS,Stone County,Wiggins,39577
75365,MS,Jackson County,Pascagoula,39581
75367,MS,Lincoln County,Brookhaven,39601
75370,MS,Lincoln County,Bogue Chitto,39629
75377,MS,Lawrence County,Jayess,39641
75381,MS,Pike County,McComb,39648
75383,MS,Pike County,Magnolia,39652
75385,MS,Lawrence County,Monticello,39654
75390,MS,Lawrence County,Silver Creek,39663
75393,MS,Pike County,Summit,39666
75394,MS,Walthall County,Tylertown,39667
75398,MS,Lowndes County,Columbus,39702
75403,MS,Monroe County,Aberdeen,39730
75404,MS,Choctaw County,Ackerman,39735
75409,MS,Clay County,Cedarbluff,39741
75411,MS,Webster County,Eupora,39744
75412,MS,Choctaw County,French Camp,39745
75414,MS,Montgomery County,Kilmichael,39747
75415,MS,Oktibbeha County,Maben,39750
75416,MS,Webster County,Mathiston,39751
75417,MS,Choctaw County,Mathiston,39752
75420,MS,Clay County,Pheba,39755
75421,MS,Monroe County,Aberdeen,39756
75422,MS,Oktibbeha County,Starkville,39759
75426,MS,Webster County,Eupora,39767
75429,MS,Choctaw County,Eupora,39772
75430,MS,Clay County,West Point,39773
75431,MS,Chickasaw County,Woodland,39776
75437,GA,Early County,Blakely,39823
75440,GA,Terrell County,Bronwood,39826
75442,GA,Grady County,Cairo,39828
75447,GA,Miller County,Colquitt,39837
75448,GA,Randolph County,,39840
75450,GA,Terrell County,Dawson,39842
75451,GA,Seminole County,Donalsonville,39845
75455,GA,Quitman County,Georgetown,39854
75464,GA,Randolph County,Shellman,39886
75467,KY,Shelby County,Bagdad,40003
75468,KY,Nelson County,Bardstown,40004
75469,KY,Trimble County,Bedford,40006
75471,KY,Nelson County,Bloomfield,40008
75472,KY,Marion County,Bradfordsville,40009
75474,KY,Henry County,Campbellsburg,40011
75475,KY,Nelson County,Chaplin,40012
75476,KY,Nelson County,Coxs Creek,40013
75477,KY,Oldham County,Crestwood,40014
75479,KY,Henry County,Eminence,40019
75481,KY,Shelby County,Finchville,40022
75482,KY,Shelby County,Simpsonville,40023
75484,KY,Oldham County,Goshen,40026
75486,KY,Oldham County,La Grange,40031
75488,KY,Marion County,Lebanon,40033
75490,KY,Marion County,Loretto,40037
75491,KY,Washington County,Mackville,40040
75493,KY,Trimble County,Milton,40045
75494,KY,Spencer County,Mount Eden,40046
75495,KY,Bullitt County,Mount Washington,40047
75498,KY,Henry County,New Castle,40050
75499,KY,Nelson County,New Haven,40051
75500,KY,Nelson County,New Hope,40052
75501,KY,Oldham County,Pendleton,40055
75502,KY,Oldham County,Pewee Valley,40056
75503,KY,Shelby County,Pleasureville,40057
75505,KY,Jefferson County,Prospect,40059
75506,KY,Marion County,Raywick,40060
75510,KY,Shelby County,Shelbyville,40065
75512,KY,Shelby County,Simpsonville,40067
75513,KY,Henry County,Smithfield,40068
75514,KY,Washington County,Springfield,40069
75516,KY,Spencer County,Taylorsville,40071
75517,KY,Henry County,Turners Station,40075
75518,KY,Shelby County,Waddy,40076
75519,KY,Oldham County,Westport,40077
75520,KY,Washington County,Willisburg,40078
75522,KY,Nelson County,Bardstown,40107
75523,KY,Meade County,Brandenburg,40108
75524,KY,Bullitt County,Brooks,40109
75526,KY,Breckinridge County,Cloverport,40111
75527,KY,Breckinridge County,Custer,40115
75529,KY,Jefferson County,Louisville,40118
75530,KY,Grayson County,Falls of Rough,40119
75533,KY,Breckinridge County,Custer,40140
75535,KY,Breckinridge County,Hardinsburg,40143
75536,KY,Breckinridge County,Hardinsburg,40144
75537,KY,Breckinridge County,Hudson,40145
75538,KY,Breckinridge County,Irvington,40146
75539,KY,Bullitt County,Lebanon Junction,40150
75540,KY,Breckinridge County,Leitchfield,40152
75545,KY,Hardin County,Radcliff,40160
75547,KY,Hardin County,Rineyville,40162
75548,KY,Bullitt County,Shepherdsville,40165
75551,KY,Meade County,Vine Grove,40175
75552,KY,Breckinridge County,Webster,40176
75553,KY,Hardin County,West Point,40177
75554,KY,Breckinridge County,Westview,40178
75556,KY,Jefferson County,Louisville,40202
75557,KY,Jefferson County,Louisville,40203
75558,KY,Jefferson County,Louisville,40204
75559,KY,Jefferson County,Louisville,40205
75560,KY,Jefferson County,Louisville,40206
75561,KY,Jefferson County,Louisville,40207
75562,KY,Jefferson County,Louisville,40208
75564,KY,Jefferson County,Louisville,40210
75565,KY,Jefferson County,Louisville,40211
75566,KY,Jefferson County,Louisville,40212
75567,KY,Jefferson County,Louisville,40213
75568,KY,Jefferson County,Louisville,40214
75569,KY,Jefferson County,Louisville,40215
75570,KY,Jefferson County,Louisville,40216
75571,KY,Jefferson County,Louisville,40217
75572,KY,Jefferson County,Louisville,40218
75573,KY,Jefferson County,Louisville,40219
75574,KY,Jefferson County,Louisville,40220
75576,KY,Jefferson County,Louisville,40222
75577,KY,Jefferson County,Louisville,40223
75580,KY,Jefferson County,Louisville,40228
75581,KY,Jefferson County,Louisville,40229
75585,KY,Jefferson County,Louisville,40241
75586,KY,Jefferson County,Louisville,40242
75587,KY,Jefferson County,Louisville,40243
75588,KY,Jefferson County,Louisville,40245
75596,KY,Jefferson County,Louisville,40258
75603,KY,Jefferson County,Louisville,40272
75612,KY,Jefferson County,Louisville,40291
75620,KY,Jefferson County,Louisville,40299
75622,KY,Nicholas County,Carlisle,40311
75623,KY,Powell County,Clay City,40312
75624,KY,Rowan County,Clearfield,40313
75630,KY,Scott County,Georgetown,40324
75631,KY,Marion County,Gravel Switch,40328
75632,KY,Mercer County,Harrodsburg,40330
75634,KY,Estill County,Irvine,40336
75635,KY,Montgomery County,Jeffersonville,40337
75638,KY,Anderson County,Lawrenceburg,40342
75640,KY,Woodford County,Midway,40347
75643,KY,Rowan County,Morehead,40351
75644,KY,Montgomery County,Mount Sterling,40353
75646,KY,Jessamine County,Nicholasville,40356
75648,KY,Bath County,Olympia,40358
75649,KY,Owen County,,40359
75650,KY,Bath County,Owingsville,40360
75651,KY,Bourbon County,Paris,40361
75655,KY,Scott County,Sadieville,40370
75656,KY,Bath County,Salt Lick,40371
75657,KY,Mercer County,Salvisa,40372
75658,KY,Bath County,Sharpsburg,40374
75660,KY,Scott County,Stamping Ground,40379
75661,KY,Powell County,Stanton,40380
75662,KY,Woodford County,Versailles,40383
75664,KY,Madison County,Richmond,40385
75667,KY,Jessamine County,Wilmore,40390
75668,KY,Clark County,Winchester,40391
75671,KY,Madison County,Berea,40403
75674,KY,Rockcastle County,Brodhead,40409
75676,KY,Lincoln County,Crab Orchard,40419
75677,KY,Boyle County,Danville,40422
75680,KY,Casey County,Hustonville,40437
75681,KY,Boyle County,Junction City,40440
75682,KY,Lincoln County,Kings Mountain,40442
75683,KY,Garrard County,Lancaster,40444
75686,KY,Jackson County,McKee,40447
75689,KY,Rockcastle County,Mount Vernon,40456
75691,KY,Madison County,Paint Lick,40461
75692,KY,Boyle County,Parksville,40464
75693,KY,Boyle County,Perryville,40468
75694,KY,Estill County,Ravenna,40472
75696,KY,Madison County,Richmond,40475
75699,KY,Lincoln County,Stanford,40484
75702,KY,Lincoln County,Waynesburg,40489
75705,KY,Fayette County,Lexington,40502
75706,KY,Fayette County,Lexington,40503
75707,KY,Fayette County,Lexington,40504
75708,KY,Fayette County,Lexington,40505
75710,KY,Fayette County,Lexington,40507
75711,KY,Fayette County,Lexington,40508
75712,KY,Fayette County,Lexington,40509
75714,KY,Fayette County,Lexington,40511
75716,KY,Fayette County,Lexington,40513
75717,KY,Fayette County,Lexington,40514
75718,KY,Fayette County,Lexington,40515
75719,KY,Fayette County,Lexington,40516
75720,KY,Fayette County,Lexington,40517
75755,KY,Franklin County,Frankfort,40601
75764,KY,Whitley County,Corbin,40701
75767,KY,Laurel County,East Bernstadt,40729
75769,KY,Knox County,Gray,40734
75770,KY,Laurel County,Keavy,40737
75771,KY,Laurel County,Lily,40740
75772,KY,Laurel County,London,40741
75775,KY,Laurel County,London,40744
75780,KY,Whitley County,Rockholds,40759
75782,KY,Whitley County,Williamsburg,40769
75783,KY,Knox County,Rockholds,40771
75786,KY,Harlan County,Baxter,40806
75787,KY,Harlan County,Cumberland,40807
75796,KY,Harlan County,Cumberland,40823
75799,KY,Leslie County,Essie,40827
75800,KY,Harlan County,Evarts,40828
75803,KY,Harlan County,Harlan,40831
75810,KY,Harlan County,Loyall,40854
75817,KY,Leslie County,Essie,40868
75819,KY,Harlan County,Wallins Creek,40873
75823,KY,Knox County,Barbourville,40906
75828,KY,Knox County,Bimble,40923
75833,KY,Knox County,Bimble,40935
75840,KY,Knox County,Bimble,40949
75845,KY,Clay County,Manchester,40962
75847,KY,Bell County,Middlesboro,40965
75849,KY,Bell County,Pineville,40977
75858,KY,Campbell County,Alexandria,41001
75859,KY,Bracken County,Augusta,41002
75860,KY,Harrison County,Berry,41003
75861,KY,Bracken County,Brooksville,41004
75862,KY,Boone County,Burlington,41005
75863,KY,Pendleton County,Butler,41006
75864,KY,Campbell County,,41007
75865,KY,Carroll County,,41008
75866,KY,Grant County,Corinth,41010
75867,KY,Kenton County,Covington,41011
75869,KY,Kenton County,Covington,41014
75870,KY,Kenton County,Taylor Mill,41015
75871,KY,Kenton County,Ludlow,41016
75872,KY,Kenton County,Lakeside Park,41017
75873,KY,Kenton County,Erlanger,41018
75876,KY,Grant County,Crittenden,41030
75877,KY,Harrison County,Cynthiana,41031
75878,KY,Pendleton County,Demossville,41033
75879,KY,Mason County,Dover,41034
75880,KY,Grant County,Dry Ridge,41035
75882,KY,Fleming County,,41039
75883,KY,Pendleton County,Falmouth,41040
75884,KY,Fleming County,Flemingsburg,41041
75885,KY,Boone County,Florence,41042
75886,KY,Bracken County,Foster,41043
75887,KY,Bracken County,Brooksville,41044
75888,KY,Gallatin County,Ghent,41045
75889,KY,Gallatin County,Glencoe,41046
75890,KY,Boone County,Hebron,41048
75891,KY,Fleming County,Owingsville,41049
75892,KY,Kenton County,Independence,41051
75896,KY,Mason County,,41055
75897,KY,Mason County,Maysville,41056
75898,KY,Campbell County,Melbourne,41059
75901,KY,Kenton County,Morning View,41063
75902,KY,Robertson County,Mount Olivet,41064
75904,KY,Campbell County,Newport,41071
75906,KY,Campbell County,Bellevue,41073
75907,KY,Campbell County,Dayton,41074
75908,KY,Campbell County,Fort Thomas,41075
75909,KY,Campbell County,Cold Spring,41076
75910,KY,Boone County,Petersburg,41080
75912,KY,Carroll County,Sanders,41083
75914,KY,Owen County,Sparta,41086
75915,KY,Boone County,Union,41091
75916,KY,Boone County,Verona,41092
75917,KY,Fleming County,Flemingsburg,41093
75918,KY,Boone County,Walton,41094
75919,IN,Switzerland County,Patriot,41095
75921,KY,Grant County,Williamstown,41097
75922,KY,Carroll County,Worthville,41098
75924,KY,Boyd County,Ashland,41101
75925,KY,Boyd County,,41102
75928,KY,Greenup County,Argillite,41121
75931,KY,Boyd County,Catlettsburg,41129
75934,KY,Greenup County,Flatwoods,41139
75935,KY,Lewis County,Garrison,41141
75937,KY,Carter County,Grayson,41143
75938,KY,Greenup County,,41144
75943,KY,Carter County,Olive Hill,41164
75944,KY,Lewis County,Garrison,41166
75945,KY,Boyd County,Rush,41168
75946,KY,Greenup County,Raceland,41169
75947,KY,Elliott County,,41171
75949,KY,Greenup County,South Shore,41174
75950,KY,Greenup County,South Shore,41175
75951,KY,Lewis County,,41179
75954,KY,Greenup County,Worthington,41183
75955,KY,Lewis County,Tollesboro,41189
75960,KY,Floyd County,East Point,41216
75961,KY,Johnson County,Flatgap,41219
75962,KY,Johnson County,East Point,41222
75963,KY,Martin County,Debord,41224
75969,KY,Johnson County,Flatgap,41238
75970,KY,Johnson County,Wittensville,41240
75973,KY,Johnson County,Flatgap,41255
75974,KY,Johnson County,Staffordsville,41256
75976,KY,Johnson County,Thelma,41260
75980,KY,Johnson County,Van Lear,41265
75982,KY,Johnson County,Hagerhill,41268
75984,KY,Johnson County,Wittensville,41274
75985,KY,Wolfe County,Campton,41301
75988,KY,Lee County,Beattyville,41311
75990,KY,Owsley County,Booneville,41314
75995,KY,Breathitt County,Jackson,41339
76015,KY,Morgan County,Ezel,41425
76022,KY,Morgan County,West Liberty,41472
76024,KY,Pike County,Pikeville,41501
76026,KY,Pike County,South Williamson,41503
76029,KY,Pike County,Belfry,41514
76031,KY,Pike County,Sidney,41519
76033,KY,Pike County,,41522
76041,KY,Letcher County,Jenkins,41537
76043,KY,Pike County,Kimper,41539
76051,KY,Pike County,Phelps,41553
76054,KY,Pike County,Raccoon,41557
76059,KY,Pike County,Shelbiana,41562
